time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.4200000000000001,0.00238391705174,-0.00148443681299,0.28460618641,6.27386341981,6.27195845708,0.0,0.0188175382682,-0.0134588246153,0.997484197626,-0.0431990089394,-0.0310981286095,0.0,382.54479724649735,383.1693245293645,383.3107180722273,381.97981239747907
0.48000000000000015,0.00372607621398,-0.00247244809197,0.345215393092,6.27134589886,6.27016068121,0.0,0.0260873443056,-0.0197068941635,1.02279572689,-0.0395874167224,-0.027784437773,0.0,413.8120075272306,414.1032069618183,413.03217518731174,413.34943512023807
0.5400000000000001,0.00557521882698,-0.00391605714149,0.410208597666,6.26913697475,6.26829363419,0.0,0.0357338078677,-0.0286522921722,1.1435252947,-0.031780507618,-0.0387917753243,0.0,445.6288132897168,444.7278854497812,443.5613219134486,444.20127158017203
0.6000000000000002,0.00805301691701,-0.0059489493187,0.482941784411,6.26691898439,6.26595962209,0.0,0.0471078036565,-0.0393273819564,1.28076274533,-0.0501463872696,-0.0391178856831,0.0,449.15472363622484,449.12754521985545,451.44761685087474,449.96272514751934
0.6600000000000003,0.0112018666942,-0.00861579182653,0.560383382878,6.26360748808,6.26366381979,0.0,0.0580625924782,-0.0498494304548,1.30059216927,-0.0679053295351,-0.0366072939371,0.0,411.25917349148045,411.48062292830423,414.2482996426906,412.6814452988268
0.7200000000000003,0.0151978336907,-0.0121291617558,0.646469065277,6.25982444417,6.26165371961,0.0,0.075395686867,-0.0677527043066,1.5685853583,-0.0547810212921,-0.0279204344554,0.0,488.32028478102274,488.9674419500063,488.96128563130566,489.93540237379733
0.7800000000000004,0.0201898423642,-0.0167084549786,0.744405877759,6.25717099276,6.26069743055,0.0,0.091132576816,-0.0851950188539,1.69578311751,-0.0287589488185,0.00103719593654,0.0,446.6579989066249,449.01320158285466,447.0630251857138,449.17684310434197
0.8400000000000004,0.0261774676371,-0.0224286050659,0.851610284185,6.25582386337,6.26078489994,0.0,0.108439727782,-0.105642085899,1.87741065805,-0.0121410865028,0.00228614760098,0.0,465.63582895278256,465.7334851702498,463.61482492838144,464.9185310485173
0.9000000000000005,0.0332371181032,-0.0294465622024,0.971315331928,6.25548526711,6.26080730877,0.0,0.12686238417,-0.12834114325,2.1123503431,0.00492556597367,-0.00375649135897,0.0,481.6881376874661,481.23098354473706,480.41198380911254,481.7043050537515
0.9600000000000005,0.0413052321517,-0.0377101122396,1.1007536781,6.25579130125,6.26053702216,0.0,0.142095369076,-0.14707608597,2.20209103638,0.00544831373338,-0.0060450726473,0.0,438.2890082733007,438.09885111178613,438.0469044864446,438.09028039464204
